,Unnamed: 0,Year,Make,Model,Price_x,Mileage,Location,TO_distance,Location_Region,loc,point,latitude,longitude,altitude,Location_Dist,Price_y
27,27,2019,Jeep,Compass,33503.0,18202.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
30,30,2018,Cadillac,XT5,32988.0,36094.0,Toronto,12,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 12",32234.972459639128
31,31,2017,Land,Rover,32800.0,77890.0,North York,16,"North York, Ontario","North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7543263, -79.44911696639593, 0.0)",43.754326299999995,-79.44911696639593,0.0,"North York, 16",42238.37160120846
32,32,2018,BMW,X1,28999.0,46109.0,Toronto,18,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 18",32234.972459639128
34,34,2015,Nissan,Versa,11585.0,36625.0,Thornhill,17,"Thornhill, Ontario","Thornhill, Vaughan, York Region, Golden Horseshoe, Ontario, L4J 4E5, Canada","(43.8161477, -79.4245925, 0.0)",43.8161477,-79.4245925,0.0,"Thornhill, 17",44930.72727272727
36,37,2017,Mercedes-Benz,E-Class,40999.0,40559.0,Toronto,15,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 15",32234.972459639128
37,38,2018,Mercedes-Benz,AMG,51895.0,66104.0,Whitby,45,"Whitby, Ontario","Whitby, Durham Region, Golden Horseshoe, Ontario, L1N 6A3, Canada","(43.899871, -78.940201, 0.0)",43.899871000000005,-78.940201,0.0,"Whitby, 45",41267.613333333335
38,39,2018,Volkswagen,Golf,36800.0,34821.0,North York,16,"North York, Ontario","North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7543263, -79.44911696639593, 0.0)",43.754326299999995,-79.44911696639593,0.0,"North York, 16",42238.37160120846
40,41,2016,Lincoln,MKX,32880.0,43247.0,Vaughan,20,"Vaughan, Ontario","Vaughan, York Region, Golden Horseshoe, Ontario, Canada","(43.7941544, -79.5268023, 0.0)",43.7941544,-79.52680229999999,0.0,"Vaughan, 20",35577.231292517004
41,42,2016,BMW,X4,29500.0,72100.0,Dundas,64,"Dundas, Ontario","Dundas, Hamilton, Golden Horseshoe, Ontario, L9H 1T5, Canada","(43.2661904, -79.9546341, 0.0)",43.2661904,-79.95463409999999,0.0,"Dundas, 64",20875.0
43,44,2015,Mazda,CX-5,15326.0,80603.0,Georgetown,41,"Georgetown, Ontario","Georgetown, Halton Region, Golden Horseshoe, Ontario, L7G 4A9, Canada","(43.6502652, -79.9036058, 0.0)",43.6502652,-79.9036058,0.0,"Georgetown, 41",23929.277777777777
45,46,2014,Dodge,Grand,10995.0,152362.0,Toronto,15,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 15",32234.972459639128
49,50,2020,Ford,Mustang,35788.0,5349.0,Toronto,1,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 1",32234.972459639128
50,51,2019,Ford,Escape,23888.0,4815.0,Bolton,37,"Bolton, Ontario","Bolton, Peel Region, Golden Horseshoe, Ontario, L7E 1C8, Canada","(43.879548, -79.73826, 0.0)",43.879548,-79.73826,0.0,"Bolton, 37",26531.214285714286
51,52,2017,Volkswagen,Passat,17099.0,82779.0,Maple,25,"Maple, Ontario","Maple, 30, Station Street, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L6A 1G3, Canada","(43.8595029, -79.5068522, 0.0)",43.859502899999995,-79.5068522,0.0,"Maple, 25",25384.25
53,54,2018,Hyundai,Santa,23699.0,20970.0,Mississauga,27,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 27",29603.69920318725
54,55,2015,Mitsubishi,RVR,13485.0,88933.0,Markham,27,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 27",33321.608695652176
55,56,2017,Hyundai,Elantra,13379.0,71148.0,Mississauga,27,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 27",29603.69920318725
56,57,2016,Hyundai,Elantra,12195.0,125168.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
